bookID	bookTitle	phrase	kind	status	annotationType	wikiTitle	score	extract	gloss	debug
2701	Moby-Dick	White Steed	ref	suppressed	wikipedia	The White Steed	0.88	The White Steed is a play in three acts written in 1939 by Paul Vincent Carroll. It won the 1939 New York Drama Critics'		The 'White Steed' here is a legendary white buffalo or horse of the Great Plains described in Melville's prose as a mythic creature revered by Native Americans — it is a literary/symbolic figure within the chapter's meditation on whiteness, not a stable encyclopedic referent. The Wikipedia article 'The White Steed' (if it exists) likely refers to a different specific entity, and no single Wikipedia article clearly and unambiguously corresponds to this passage's intended referent.
2701	Moby-Dick	Albatross	ref	ok	wikipedia	Albatross	0.95	Albatrosses, of the biological family Diomedeidae, are large seabirds related to the procellariids, storm petrels, and d		pre-approved: Albatross
2701	Moby-Dick	Albino	ref	ok	wikipedia	Albinism	0.95	Albinism is the congenital absence of pigmentation in an animal or plant resulting in "hair being white, red, or yellow"		pre-approved: Albinism
2701	Moby-Dick	Southern Seas	ref	ok	wikipedia	Southern Ocean	0.95	The Southern Ocean, also known as the Antarctic Ocean, comprises the southernmost waters of the World Ocean, generally t		pre-approved: Southern Ocean
2701	Moby-Dick	White Squall	ref	ok	wikipedia	White squall	1.00	A white squall is a sudden and violent windstorm at sea which is not accompanied by the black clouds generally character		
2701	Moby-Dick	Froissart	ref	ok	wikipedia	Jean Froissart	0.95	Jean Froissart was a French-speaking medieval author and court historian from the Low Countries who wrote several works,		pre-approved: Jean Froissart
2701	Moby-Dick	White Hoods of Ghent	ref	ok	wikipedia	The White Hoods	0.95	The White Hoods: an Historical Romance is a historical novel by Anna Eliza Bray, first published in 1828 in London.		ai-suggested: The White Hoods | match_type=exact | reason=In context this names the medieval faction at Ghent from Froissart, not a generic white hood image; the historical group is the intended referent.
2701	Moby-Dick	Whitsuntide	ref	ok	wikipedia	Whitsun	0.95	Whitsun is the name used in Britain, and among Anglicans and Methodists in other countries, for the Christian holy day o		pre-approved: Whitsunday
2701	Moby-Dick	Protestant of the Middle American States	ref	suppressed	suppress		0.98			Generic socioreligious descriptor for an American Protestant reader, not a stable encyclopedic reference.
2701	Moby-Dick	White Friar	ref	gloss	gloss		0.96		A Carmelite monk, so called from the white cloak or habit traditionally worn by members of the order.	The phrase is an archaic religious designation rather than a stable encyclopedic title; the passage uses it generically in a symbolic comparison.
2701	Moby-Dick	White Nun	ref	ok	wikipedia	Premonstratensians	0.95	The Order of Canons Regular of Prémontré, also known as the Premonstratensians, the Norbertines and, in Britain and Irel		pre-approved: Norbertines
2701	Moby-Dick	White Tower of London	ref	ok	wikipedia	White Tower (Tower of London)	1.00	The White Tower is a former royal residence, the old keep, at the Tower of London in England. It was built by William th		
2701	Moby-Dick	Byward Tower	ref	ok	wikipedia	Byward Tower	1.00	Byward Tower is a barbican of the Tower of London.		
2701	Moby-Dick	White Mountains of New Hampshire	ref	ok	wikipedia	White Mountains (New England)	1.00	The White Mountains are a mountain range covering about a quarter of the state of New Hampshire and a small portion of w		
